id,y
603,2
604,3
605,3
606,2
607,3
608,2
609,3
610,2
611,3
612,2
613,1
614,1
615,1
616,1
617,2
618,1
619,2
620,1
621,1
622,3
623,2
624,2
625,1
626,1
627,2
628,3
629,3
630,2
631,1
632,1
633,2
634,2
635,3
636,2
637,3
638,1
639,2
640,2
641,3
642,2
643,1
644,1
645,2
646,1
647,2
648,1
649,3
650,1
651,2
652,2
653,1
654,1
655,2
656,2
657,2
658,2
659,2
660,2
661,1
662,3
663,2
664,2
665,1
666,3
667,2
668,3
669,1
670,1
671,3
672,3
673,1
674,1
675,2
676,1
677,2
678,1
679,1
680,1
681,1
682,1
683,1
684,3
685,2
686,2
687,2
688,2
689,1
690,2
691,1
692,3
693,2
694,2
695,1
696,3
697,3
698,1
699,3
700,2
701,3
702,2
703,1
704,3
705,3
706,3
707,2
708,1
709,2
710,3
711,3
712,3
713,1
714,3
715,1
716,1
717,2
718,3
719,3
720,2
721,3
722,2
723,3
724,2
725,2
726,2
727,1
728,2
729,2
730,1
731,1
732,2
733,3
734,2
735,1
736,1
737,2
738,3
739,3
740,3
741,1
742,3
743,3
744,1
745,1
746,1
747,2
748,1
749,2
750,1
751,1
752,3
753,1
754,3
755,1
756,2
757,3
758,3
759,1
760,1
761,2
762,2
763,3
764,2
765,1
766,3
767,3
768,2
769,2
770,1
771,2
772,1
773,2
774,1
775,2
776,2
777,2
778,1
779,3
780,1
781,1
782,2
783,2
784,2
785,2
786,2
787,1
788,1
789,3
790,1
791,3
792,3
793,2
794,1
795,2
796,2
797,1
798,2
799,2
800,3
801,3
802,1
803,3
804,1
805,1
806,3
807,2
808,2
809,2
810,2
811,1
812,2
813,1
814,2
815,1
816,2
817,1
818,1
819,2
820,1
821,1
822,3
823,1
824,1
825,2
826,1
827,2
828,2
829,3
830,2
831,1
832,3
833,3
834,3
835,1
836,2
837,1
838,2
839,3
840,2
841,3
842,2
843,3
844,3
845,2
846,3
847,3
848,1
849,3
850,1
851,1
852,2
853,2
854,1
855,1
856,1
857,3
858,1
859,1
860,1
861,2
862,1
863,1
864,2
865,3
866,1
867,1
868,2
869,2
870,2
871,3
872,1
873,2
874,2
875,3
876,2
877,1
878,2
879,2
880,3
881,1
882,2
883,1
884,1
885,3
886,3
887,1
888,1
889,1
890,1
891,2
892,1
893,2
894,2
895,3
896,1
897,2
898,3
899,3
900,2
901,1
902,2
903,2
904,1
905,1
906,2
907,2
908,2
909,1
910,2
911,1
912,2
913,2
914,3
915,1
916,1
917,3
918,3
919,1
920,3
921,1
922,2
923,3
924,1
925,1
926,3
927,1
928,2
929,1
930,2
931,2
932,3
933,1
934,1
935,2
936,2
937,3
938,3
939,2
940,2
941,1
942,2
943,1
944,1
945,3
946,1
947,3
948,2
949,2
950,3
951,3
952,3
953,1
954,2
955,3
956,2
957,2
958,1
959,2
960,3
961,3
962,3
963,2
964,1
965,3
966,1
967,3
968,3
969,2
970,3
971,1
972,3
973,2
974,1
975,2
976,1
977,2
978,1
979,3
980,3
981,1
982,1
983,2
984,1
985,1
986,2
987,2
988,3
989,2
990,3
991,2
992,2
993,1
994,1
995,2
996,1
997,2
998,2
999,3
1000,3
1001,2
1002,1
1003,3
1004,3
1005,2
1006,1
1007,1
1008,3
1009,2
1010,1
1011,2
1012,1
1013,2
1014,2
1015,2
1016,3
1017,2
1018,1
1019,3
1020,2
1021,1
1022,2
1023,1
1024,1
1025,3
1026,1
1027,3
1028,1
1029,3
1030,1
1031,1
1032,3
1033,3
1034,2
1035,3
1036,3
1037,1
1038,2
1039,2
1040,1
1041,2
1042,2
1043,1
1044,3
1045,2
1046,2
1047,1
1048,1
1049,1
1050,1
1051,2
1052,2
1053,3
1054,3
1055,2
1056,2
1057,2
1058,2
1059,2
1060,1
1061,3
1062,3
1063,3
1064,2
1065,2
1066,1
1067,3
1068,1
1069,2
1070,1
1071,2
1072,1
1073,3
1074,3
1075,1
1076,2
1077,3
1078,1
1079,2
1080,2
1081,1
1082,2
1083,1
1084,3
1085,2
1086,2
1087,3
1088,3
1089,3
1090,2
1091,3
1092,3
1093,1
1094,1
1095,1
1096,1
1097,3
1098,1
1099,2
1100,2
1101,2
1102,2
1103,2
1104,1
1105,1
1106,2
1107,2
1108,1
1109,1
1110,3
1111,2
1112,1
1113,1
1114,3
1115,1
1116,3
1117,2
1118,2
1119,2
1120,1
1121,3
1122,1
1123,2
1124,1
1125,1
1126,2
1127,2
1128,3
1129,2
1130,1
1131,2
1132,2
1133,2
1134,1
1135,3
1136,3
1137,1
1138,1
1139,1
1140,3
1141,1
1142,3
1143,3
1144,3
1145,2
1146,1
1147,2
1148,1
1149,1
1150,3
1151,1
1152,3
1153,2
1154,1
1155,3
1156,3
1157,3
1158,3
1159,3
1160,1
1161,2
1162,1
1163,3
1164,1
1165,1
1166,1
1167,2
1168,1
1169,1
1170,3
1171,1
1172,1
1173,3
1174,1
1175,1
1176,3
1177,3
1178,1
1179,2
1180,2
1181,1
1182,1
1183,1
1184,1
1185,3
1186,2
1187,1
1188,2
1189,1
1190,2
1191,2
1192,1
1193,1
1194,1
1195,1
1196,2
1197,2
1198,1
1199,3
1200,1
